title,genres,keywords
Suspiria,Drama Horror Mystery Fantasy,berlin germany dance performance telepathy 1970s paranormal phenomena telekinesis remake ballet demon choreographer witchcraft occult living dead ritual sacrifice choreography ballet school spiritualism dance company psychotherapist mysterious events good versus evil
Richard Jewell,Drama Crime,biography standard police procedure cautionary tale
The Great Escape,Adventure Drama History Thriller War,epic uniform swastika prisoner based on novel or book nazi escape optimism freedom machinegun switzerland shower dystopia baseball famous score world war ii prisoner of war claustrophobia attempt to escape barbed wire based on true story prison guard prison escape tragedy solitary confinement motorcycle alps mountains british officer 1940s luftwaffe
Welcome to the Sticks,Comedy Drama Romance,jealousy clock tower provence southern france lie postman mama's boy bias local speciality relocation prejudice cultural difference job transfer northern france bell tower postal worker hospitality community spirit dialect small community wine drinking unhappy marriage social prejudices accents disability fraud
Borat Subsequent Moviefilm,Comedy,presidential election patriotism mockery kazakhstan satire hidden camera sequel mockumentary prank social satire disguise covid-19
The Boss Baby: Family Business,Animation Comedy Adventure Family,baby boss sequel sibling family
The Assassination of Jesse James by the Coward Robert Ford,Action Drama Western,media killing missouri admiration hold-up robbery jesse james cowardliness family coward revisionist western
Eat Pray Love,Drama Romance,change italy indonesia love travel female protagonist india divorce around the world bali italian cuisine
Awakenings,Drama,coma experiment based on novel or book hope miracle based on true story hospital illness woman director comatose
Anaconda,Adventure Horror Thriller,human vs nature snake predator movie business expedition amazon rainforest jungle creature hunting anaconda killer snake riverboat amazon river animal horror killer expedition rainforest river river ravine
Johnny English Strikes Again,Action Adventure Comedy,spy parody sequel slapstick comedy
Clerks,Comedy,salesclerk work loser male friendship monologue junk food black and white aftercreditsstinger day in a life workplace comedy
Kindergarten Cop,Comedy,drug dealer dying and death police crime fighter kiss kindergarten education teacher
J. Edgar,Drama Crime History,fbi biography historical figure
Surf's Up,Animation Comedy Family,sea surfer surfboard wave world cup giant wave penguin world champion mockumentary anthropomorphism animal mystical world anthropomorphic animal
Sound of Metal,Drama Music,deaf missouri drums heavy metal addiction sign languages hearing impaired
The Ides of March,Drama,politics ohio dirty tricks presidential campaign endorsement campaign speech presidential debate
Hot Tub Time Machine,Science Fiction Comedy Adventure,poison time travel one-night stand singer peter pan syndrome forty something snow skiing ski resort 1980s butterfly effect 80s throwback change the past
Only God Forgives,Drama Thriller Crime,bangkok thailand surrealism punishment suicidal police officer blunt neon light neo-noir drug trafficker thai boxing emasculation vengeance
Paranormal Activity 2,Horror Mystery,haunting ouija board demonic possession found footage duringcreditsstinger antagonistic
The Bélier Family,Comedy Music Drama,deaf coming of age teenage girl singing family sign languages
I Saw the Devil,Thriller Horror,psychopath cemetery police chief secret agent revenge murder serial killer mercilessness severed head brutality cannibal tracking device south korea sadistic killer
Irrational Man,Drama Comedy Crime,college rhode island
Season of the Witch,Adventure Fantasy Action,witch hero ambush fight ritual inquisition monk horse knife knight middle ages (476-1453) catholic church 14th century
Midway,Action Drama War History Adventure,world war ii u.s. navy battle of midway pacific war historical fiction pacific theater naval warfare 1940s
Rushmore,Comedy Drama,lone wolf private school theater play theatre group theater director coming of age precocious child teenager
The Flintstones,Fantasy Comedy Family,friendship plan jealousy manager adoption bad mother-in-law family's daily life stone age best friend dinosaur cavemen
A Time to Kill,Crime Drama Thriller,rape court jurors ku klux klan mississippi river forgiveness blackmail attempted murder trial murder lawyer courtroom racial tension racial issues courtroom drama legal thriller
Hellraiser,Horror Thriller,based on novel or book ritual supernatural seduction gore surrealism undead stepmother revenge human sacrifice demon puzzle box attic occult cenobite
Conan the Barbarian,Adventure Fantasy Action,epic based on novel or book gladiator fight magic repayment mythology despot black magic warlord stone age thief barbarian wizard warrior serpent action hero sword and sorcery mysticism good versus evil
Don't Breathe 2,Thriller Horror,home invasion sin sequel gunfight blind home invasion criminal handgun blind man hammer
Fantasy Island,Horror Fantasy Adventure Mystery,cave private investigator remote island reality vs fantasy interracial adoption fame-seeking brother brother relationship female bully based on tv series independent film hidden desires gay brother
The Big Sick,Comedy Drama Romance,chicago illinois new york city immigrant muslim roommate sadness sarcasm comedian based on true story one-man show pakistan family relationships film in film matchmaking cultural difference hospital falling in love family illness group of friends intercultural relationship college student uber traditional family comedy club stand-up comedian grad school
Babylon,Drama Comedy,elephant gambling gambling debt movie business orgy cocaine champagne alcoholism hollywood alcoholic filmmaking movie star silent film star 1920s old hollywood fading star sex
Adaptation.,Comedy Crime Drama,based on novel or book marriage crisis alligator writer's block orchid writer twins
Tom Clancy's Without Remorse,Adventure Action Thriller War,duringcreditsstinger
Beautiful Boy,Drama,based on novel or book san francisco california drug addiction biography based on true story drug rehabilitation based on memoir or autobiography father son relationship
Run,Thriller Horror Drama,small town wheelchair user    homeschooling single mother washington state prescription medication physical disability cloistered life college applications
Love,Drama Romance,paris france gallery sexuality pregnancy girlfriend love relationship break-up
Fractured,Thriller,gas station hospital doctor police officer alcoholic accident
X,Horror,van sheriff war veteran gas station shotgun 1970s texas alligator porn star serial killer slasher porn actress elderly couple isolated farmhouse existentialism absurd demeaning derogatory ridiculous
Safe,Action Crime Thriller,new york city triad corrupt politician
Elektra,Action Fantasy Science Fiction,martial arts superhero based on comic vigilante female assassin spin off women fight one woman army supernatural power vigilante justice
Stuart Little 2,Family Adventure Animation Comedy,friendship mouse falcon family
The Curse of La Llorona,Horror Mystery Thriller,lanetli gözyasları la llorona
Deep Blue Sea,Action Horror Science Fiction,shark attack creature scientist shark killer shark genetic engineering animal horror underwater facility
"Definitely, Maybe",Comedy Romance,daughter lovesickness love of one's life parent child relationship narration kiss lovers make a match sex education affection romance relationship divorce past relationship
Taxi,Comedy Action Crime Adventure,taxi taxi driver marseille france pizza boy pizza delivery police officer bank robbery
The Chorus,Drama,penalty boarding school choir diary musical boys' choir dormitory principal boys' boarding school 1940s music movie
Return to Never Land,Adventure Fantasy Animation Family,flying peter pan sequel
The French Dispatch,Drama Comedy,art collector journalist small town france poison 1970s journalism editor-in-chief artist imprisonment painter riot anthology magazine food poisoning murderer chef lecture post world war ii child kidnapping obituary bicycle tour poisoning father son relationship
Bean,Comedy Family Adventure,california london england airport paris france chaos repair vault museum painting arts and culture destroy artwork guard clumsy fellow arts expert host family damage poster hospital los angeles california amusement park teenage rebellion laxative
Snitch,Thriller Drama Action,prison undercover parent child relationship arrest based on true story drugs agent dea
The Forever Purge,Horror Action Thriller,texas sequel prequel murder desert purge family surviving alone guns and weapons
Gulliver's Travels,Family Comedy Adventure Fantasy,princess journalist forbidden love royal court
Fun with Dick and Jane,Comedy,husband wife relationship based on novel or book robber hold-up robbery suburbia remake loss of job humiliation unemployment bankruptcy travel agent riches to rags bearer bonds comeuppance
Hardcore Henry,Action Adventure Science Fiction,martial arts cyborg gore murder levitation terrorist group moscow russia first person view good versus evil experimental film
"Good Bye, Lenin!",Comedy Drama,husband wife relationship coma bureaucracy police state berlin wall loss of loved one german democratic republic socialism single
It's Kind of a Funny Story,Comedy Drama,depression suicide based on novel or book coming of age teen movie psychiatric ward woman director based on young adult novel
Dirty Harry,Action Crime Thriller,sniper police ambush chase ransom san francisco california kidnapping psychopath detective mayor investigation assault swimming pool beating serial killer gunfight maniac school bus revolver neo-noir
Hustle,Drama Comedy,spain sports training basketball teenage pregnancy basketball player opportunity dramedy interracial family
Gamer,Action Thriller Science Fiction,mind control prisoner video game dystopia gun battle wrongful imprisonment wrongful conviction online gaming 2030s death game not too distant future
When We First Met,Comedy Romance Fantasy,time travel halloween party unrequited love time loop do over
Dogville,Crime Drama Thriller,friendship bondage rape police village life refugee blackmail mountain american dream bank robber last judgment mountain village exploitation rocky mountains woman martyr physical work wanted poster forced labour slavery recession hoodlum
Jackie,Drama,assassination usa president widow john f. kennedy biography dallas texas president grief first lady kennedy family john f. kennedy assassination death of husband usa history 1960s jacqueline kennedy
The Strangers,Horror Mystery Thriller,mask murder slasher psychological thriller home invasion
Mr. Peabody & Sherman,Animation Adventure Family,friendship egypt parent child relationship intelligence adoption time travel child prodigy anthropomorphism talking dog growing up dog first love ancient egypt duringcreditsstinger new school gags trouble time paradox prodigy
Safe Haven,Romance Thriller,small town based on novel or book widower single father abusive husband
Zack and Miri Make a Porno,Comedy,pornography love of one's life platonic love pornographic video best friend sex comedy friends in love duringcreditsstinger porno
Eraserhead,Horror,baby nightmare mutant claustrophobia parents-in-law pencil surrealism torture parallel world
Portrait of a Lady on Fire,Drama Romance,island fire beach arranged marriage orpheus classical music painting painter greek mythology lesbian relationship person on fire period drama lesbian sex portrait lgbt 18th century woman director abortion portrait drawing posing for a portrait women gathering women in film walk painting lesson symphony orchestra lesbian woman falls in love vivaldi women
The Mountain Between Us,Drama Adventure Romance,based on novel or book photographer mountain pilot wilderness survival wildlife snow airplane crash doctor dog struggle for survival argument freezing stranger injury holiday season american wilderness hopelessness valley scenic desolate wilderness delayed flight obstacles
The Boondock Saints,Action Thriller Crime,bratva (russian mafia) boston massachusetts detective irish-american prologue shootout police station pager mob boss duringcreditsstinger vigilantism brother brother relationship public execution
Ghostland,Horror Mystery Thriller,insanity hallucination torture reality vs fantasy
Judge Dredd,Science Fiction,corruption judge dystopia superhero post-apocalyptic future villain trial based on comic cyberpunk police officer revenge motive justice based on graphic novel frame up law enforcement framed for murder gene prosthetic limb dna testing futuristic city action hero good versus evil
What's Your Number?,Comedy Romance,based on novel or book romantic comedy basketball womanizer magazine skinny dipping apartment building stage performance dating woes fired past relationship survey dating history sister's wedding finding mr. right appreciative comforting
John Q,Drama Thriller Crime,chicago illinois parent child relationship heart attack kidnapping heart disease hostage-taking hospital
Flubber,Comedy Family Science Fiction,wedding vows inventor slime flight mad scientist wedding
The Cable Guy,Comedy Drama Thriller,prison prostitute karaoke obsession dark comedy medieval cable guy frenemies
Resident Evil: Welcome to Raccoon City,Horror Science Fiction Action,biological weapon orphanage mutant infection zombie mansion police station based on video game reboot ghost town duringcreditsstinger lockdown 1990s secret experiment
Mulan II,Animation Comedy Family Action,escape arranged marriage musical
Perfect Blue,Animation Thriller,career japan paranoia stalker celebrity singer fame female protagonist psychological thriller mental illness madness split personality adult animation j-pop celebrity worship anime aspiring actress
Night of the Living Dead,Horror,sibling relationship pennsylvania usa loss of loved one gun gas station cemetery cellar house barricade zombie black and white trapped bitten farm house
The SpongeBob Movie: Sponge Out of Water,Family Adventure Comedy Fantasy Animation,sea ocean based on cartoon live action and animation
We Are Your Friends,Drama Music Romance Comedy,los angeles california san fernando valley dj
Ghost Ship,Horror Mystery Thriller,treasure cruise pilot ghost ship gore tugboat salvage supernatural horror deserted ship
K-PAX,Science Fiction Drama Mystery,dream robbery investigation hypnosis alien murder hospital planet patient medication psychiatrist claim mental
It Comes at Night,Drama Horror Mystery,fire nightmare nihilism darkness homicide door paranoia post-apocalyptic future forest fear dog madness pandemic infected cremation hopelessness malevolence
Enola Holmes 2,Adventure Mystery Comedy Crime,detective victorian england sequel female detective sherlock holmes
Horns,Drama Fantasy Thriller,death of girlfriend
Peninsula,Horror Adventure Action Thriller,dystopia sequel zombie busan south korea south korea
Labyrinth,Adventure Family Fantasy,rescue race against time maze castle musical puppet babysitter surrealism baby-snatching coming of age growing up teenage girl puppetry fantasy world child kidnapping goblin goblins magic land giant creature bizarre creatures goblin king
Pandorum,Action Horror Mystery Science Fiction Thriller,spacecraft mission mutation dystopia survival creature pandorum
Step Up 2: The Streets,Music Drama Romance,underdog hip-hop street gang scholarship competition breakdance insurgence heart-throb tap dancing ballet
Just Like Heaven,Drama Comedy Romance Fantasy,coma based on novel or book workaholic san francisco california architect blind date romantic comedy loneliness doctor car accident spirit apartment building widower landscape architect haunted apartment flirty neighbor
The Little Things,Crime Drama Thriller,detective deputy sheriff cop serial killer crime scene los angeles california series of murders cat and mouse surveillance lapd homicide detective prime suspect 1990s unsolved murders
Ghosts of Girlfriends Past,Fantasy Comedy Romance,womanizer love wedding ghost aftercreditsstinger duringcreditsstinger past relationship
Before Midnight,Romance Drama,hotel hotel room dream airport greece greek friends author writer summer vacation twins
Descendants,Family Music Adventure Comedy Fantasy TV Movie,witch high school magic fairy tale villain teen movie fairy godmother teenage protagonist maleficent
25th Hour,Crime Drama,drug dealer new york city friendship dream distrust based on novel or book bratva (russian mafia) paranoia sadness irish-american nightclub american dream melancholy girlfriend surrealism betrayal stockbroker prison sentence widower reflection post 9/11
Storks,Adventure Animation Comedy Family,baby stork delivery service
3 Idiots,Drama Comedy,suicide suicide attempt college slapstick comedy coming of age friends engineering subjective camera
The Man from Earth,Science Fiction Drama,immortality birthday legend philosophy professor psychology bible time survival anthropology prehistory religion memory church cavemen
Elite Squad,Drama Action Crime,drug dealer police brutality slum war on drugs drug trafficking rio de janeiro torturing police special forces law enforcement brazilian cinema
Beverly Hills Cop II,Action Comedy Crime,police arms smuggling intensive care undercover detective investigation armored car strip club sequel shootout gunfight los angeles california detroit michigan horse track beverly hills buddy cop credit card fraud playboy mansion shooting range robbery gang superdetective ferrari
Green Street Hooligans,Crime Drama,london england sports harvard university hooligan revenge football (soccer) cruelty american brutality reputation woman director bar fight firm
The Little Mermaid,Adventure Family Fantasy Romance,mermaid musical based on fairy tale live action remake amused
Flatliners,Drama Horror Thriller,bullying remake accidental death death medical student guilty conscience near-death experience competitiveness scientific experiment
Bicycle Thieves,Drama,rome italy italian society riding a bicycle search poster thief stolen bicycle madame unemployment realism neo realism italian neo realism
Movie 43,Comedy,california anthology slapstick comedy hollywood duringcreditsstinger woman director laxative
Never Back Down,Drama Action,high school martial arts sports fight underground rebel training champion revenge nemesis club brawl
Manhattan,Comedy Drama Romance,adultery lolita new york city based on novel or book based on true story love mistress black and white writer relationship divorce true crime manhattan new york city married
Anna Karenina,Drama Romance,adultery based on novel or book horse race st. petersburg russia death high society imperial russia 19th century
A Bronx Tale,Drama Crime,italian american gambling funeral italian parent child relationship gangster black people loyalty molotow cocktail gang leader nostalgia game of dice bus driver mafia best friend witness to murder hoodlum xenophobia bronx new york city father figure 1960s confession booth
Legend of the Guardians: The Owls of Ga'Hoole,Animation Adventure Family Fantasy,friendship heroism brother against brother clash of clans
Sherlock: The Abominable Bride,Crime Drama Mystery TV Movie,bride tv episode sherlock holmes
Widows,Crime Thriller,chicago illinois politics politician heist flashback remake money betrayal mob boss
Last Christmas,Comedy Romance,london england holiday romantic comedy singing homeless shelter holiday season christmas santa's elves
The Watch,Comedy Action Science Fiction,friendship marriage castration sterility alien suburb alien invasion death teenage daughter neighborhood watch creepy neighbor
I Now Pronounce You Chuck & Larry,Comedy Romance,coming out new york city single parent homophobia fraud single gay marriage insurance policy firefighter masculinity pretend relationship pretending to be gay gay theme fire department
Halloween,Horror,mask escape sadism psychopath halloween babysitter cowardliness cruelty maniac reboot duringcreditsstinger disturbed child holiday horror
Look Who's Talking,Comedy Romance,baby single parent pregnancy duringcreditsstinger woman director
Cliffhanger,Action Adventure Thriller,airplane mountain rocky mountains hijacking suitcase climbing heist money snow mountain climbing
Grimsby,Action Comedy,sibling relationship gun spy vulgar hooligan vulgarity football (soccer) aftercreditsstinger
Poltergeist,Horror,poltergeist haunted house remake duringcreditsstinger
An American Werewolf in London,Comedy Horror,dying and death london england intensive care nurse loss of loved one zoo transformation full moon black humor london underground yorkshire rural area werewolf creature moor (terrain) british pub dream sequence hikers london zoo practical special effects
Ronin,Action Thriller Crime,france paris france arms deal mercenary suitcase heist shootout impostor ira (irish republican army) cafe computer expert ex kgb cellular phone trace violence
Foxcatcher,Drama Thriller,sports wrestling biography based on true story ex-boyfriend ex-girlfriend relationship
Australia,Adventure Drama Romance,australia missionary world war ii ranch cattle drive racist prejudice suspicion of adultery australian outback 1940s 1930s stampede trampled to death
The Raid 2,Action Crime Thriller,prison police undercover fight gangster outnumbered
Point Break,Action Adventure Crime Thriller,undercover agent undercover fbi extreme sports remake
Sky High,Adventure Comedy Family,high school friendship mission superhero loyalty mockery heroism friends super power
Big Momma's House,Crime Comedy,undercover fbi disguise impersonation
A Ghost Story,Fantasy Drama,sadness house loss grief morality construction death ghost piano
The Addams Family,Family Animation Comedy Fantasy,cartoon black humor family addams family
Sleepless in Seattle,Comedy Drama Romance,journalist friendship lovesickness airplane love of one's life unsociability parent child relationship loss of loved one holiday radio station radio presenter christmas party seattle washington baltimore usa fiancé radio radio transmission observation deck valentine's day woman director
Herbie Fully Loaded,Comedy Family Adventure Fantasy Romance,car race sports victory sequel slapstick comedy nascar volkswagen beetle smart car woman director
Purple Hearts,Romance Drama,military life
Wild Hogs,Action Adventure Comedy,small town midlife crisis road trip slapstick comedy politically incorrect motorcycle motorcycle gang lgbt road movie awkwardness travel writer ironic ending motorcycle with sidecar biker gang accident prone middle age
What Dreams May Come,Drama Fantasy Romance,paradise afterlife painting hell heaven spiritism
Starsky & Hutch,Comedy Crime,california undercover drug trafficking 1970s cocaine cop informant disco buddy cop jumping from a rooftop surveillance footage drug kingpin based on tv series
Ed Wood,Comedy Drama History,individual taxi fortune teller transsexuality transvestite movie business drug addiction boxer oddball celebrity morphine los angeles california black and white suburb theremin handgun trick or treating 1950s
Every Day,Fantasy Romance,based on novel or book transformation body switch based on young adult novel
Never Let Me Go,Drama Romance Science Fiction,london england based on novel or book love triangle england boarding school forgiveness dystopia sadness aging cloning morality human rights existentialism human parts trade human cloning crime against humanity medical ethics organ harvesting abomination
Sing Street,Comedy Romance Drama Music,friendship london england sibling relationship dublin ireland music video prom school singing ireland divorce family teenage boy bullied 1980s
Monster,Crime Drama,death penalty prostitute rape sexual abuse motel based on true story murder betrayal serial killer poverty prostitution heartbreak mental illness woman director
Gandhi,Drama History,muslim strike prayer freedom independence release from prison demonstration world war ii imprisonment colony hunger strike hindu british army political negotiations conference nonviolent resistance apartheid british empire protest independence movement biography idealism based on true story idealist fighting the system
Push,Science Fiction Action Adventure Thriller,mind control psychokinesis secret government organization clairvoyance hong kong
Burlesque,Drama Romance,musical los angeles california burlesque burlesque dancer
Spenser Confidential,Comedy Action Thriller,based on novel or book police boston massachusetts ex-cop police corruption ex-con buddy movie aspiring boxer
The Ring Two,Drama Horror Thriller,based on novel or book nightmare nun son bath tub sequel remake vision mental institution woman reporter videotape evil child
I Am Sam,Drama,mentally disabled foster parents lawyer pro bono social services coffee shop manager pizza hut children's book locked door child custody woman director father daughter relationship neurodiversity
All the Money in the World,Crime History Thriller,based on novel or book rome italy kidnapping 1970s based on true story wealth ransom demand
Ride Along,Action Comedy,police operation family relationships police officer duringcreditsstinger
Norbit,Comedy,orphanage overweight woman
Hostiles,Western Drama History,montana new mexico chief native american native american reservation bigotry 19th century indigenous peoples new mexico territory
Gothika,Horror Thriller,amnesia mental institution patient trust false accusations medication gothic mental illness
The Princess Switch,Romance Comedy,holiday royalty look-alike identity swap christmas
Paddington 2,Adventure Comedy Family,london england based on novel or book sequel bear train based on children's book animal aging actor live action and animation
Stranger Than Fiction,Comedy Drama Fantasy Romance,literature professor love fate author death dying novelist publisher what if
The Snowman,Crime Thriller,based on novel or book winter gun detective cellar snowman serial killer snow cabin twins plastic surgeon alcoholic psychosis oslo norway unfinished
Wolf Children,Animation Family Drama Fantasy Adventure,wolf forest death of father growing up rural area werewolf single mother adult animation werewolf child farming community farming anime mother son relationship mother daughter relationship brother sister relationship
Chaos Walking,Fantasy Science Fiction Adventure,based on novel or book dystopia post-apocalyptic future
The Running Man,Action Science Fiction Thriller,prison based on novel or book chase dystopia post-apocalyptic future hunting human beings game show death game
Case 39,Horror Mystery Thriller,child abuse social worker detective office supernatural murder mental institution cityscape drawn falling elevator pier super power deadly
Selma,History Drama,alabama civil rights martin luther king president protest march woman director selma 1960s african american history
Zoolander 2,Comedy Adventure Action,fashion designer sequel fashion male model fashion show modeling fashion model fashionista runway model
National Lampoon's Christmas Vacation,Comedy,holiday boss family dinner neighbor domestic life fantasy sequence christmas christmas bonus jello
The Spy Who Dumped Me,Action Comedy,berlin germany paris france spy prague czech republic female friendship best friend los angeles california save the day acrobats edward snowden
The Legend of 1900,Drama Music Romance,ship ocean musical pianistin child prodigy fondling
Punch-Drunk Love,Romance Drama Comedy,depression sibling relationship businessman shyness hawaii dysfunctional family psychological abuse los angeles california scam artist telephone sex pudding sweepstakes harmonium absurdist social anxiety emotional abuse anxious provo utah scam call center overbearing sister romantic
Pete's Dragon,Adventure Family Fantasy,feral child remake dragon orphan 1980s live action and animation
The Banshees of Inisherin,Drama Comedy History,friendship island donkey dark comedy irish civil war (1922-23) church ireland drinking former best friend self mutilation fiddle 1920s brother sister relationship pub
The Bank Job,Thriller Crime Drama,infidelity mannequin wife photography subway vault car dealer bahamas based on true story london underground strip club offer extortion police corruption double cross walkie talkie railway station jackhammer political corruption bank heist cabinet officer
Stoker,Drama Horror Thriller,dancer funeral tennis psychopath widow family relationships dead body death mental illness playing piano secret teenager
Thunderball,Adventure Action Thriller,sea florida paris france spy fighter pilot bahamas sanatorium secret organization nuclear missile coral reef secret agent scuba diving british spy shark scuba british secret service big ben
Ri¢hie Ri¢h,Comedy Family,wealthy billionaire family
King Richard,Drama History,tennis tennis player father based on true story wimbledon family tennis pro father daughter relationship coaching champions sport
Shanghai Knights,Action Adventure Comedy Western,martial arts london england indian territory emperor revenge murder arrow duringcreditsstinger action hero imperial seal good versus evil
A Rainy Day in New York,Comedy Romance,infidelity new york city rain paparazzi kiss interview romance high society manhattan new york city young couple college student romantic weekend rich family central park new york city film director film shoot existential crisis
Tears of the Sun,War Action Drama,civil war war crimes refugee village evacuation border rescue mission us army nigeria president doctor massacre brutality military child soldier
Mortal Kombat,Action Fantasy,island martial arts monster saving the world magic villain gore alternate dimension ninja sorcerer tournament underground fighting based on video game gods ghost hand to hand combat warrior action hero supernatural power mortal kombat good versus evil
Priest,Action Fantasy Horror Thriller,vampire dystopia post-apocalyptic future crucifixion vampire hunter (slayer) disobey niece dark hero
Superman II,Science Fiction Action Adventure,saving the world superhero loss of virginity based on comic sequel niagara falls criminal super power phantom zone rocket fired grenade crystal machine superhuman strength duringcreditsstinger
Solace,Thriller Crime Mystery,fbi investigation autopsy terminal illness premonition murder cancer psychologist serial killer crime scene psychic intrigue dark past vision of the future
Men of Honor,Drama,diving u.s. navy
Tron,Science Fiction Action Adventure,hacker video game virtual reality dystopia simulation super computer utopia computer simulation simulated reality  arcade game light cycle
Mr. Deeds,Comedy Romance,new york city love letter new hampshire liar city country contrast inheritance billionaire kindness fable apple tree corporate take over chrysler building
Killers,Action Comedy Thriller Romance,assassin
Guns Akimbo,Action Comedy,hero gladiator fight superhero website bad cop body mutilation death match homeless man computer programmer live stream rescue from fire viral death game
Paprika,Animation Mystery Science Fiction Thriller,research japan dream procession psychoanalysis mad scientist dream girl parallel world adult animation dream world anime
Ip Man 2,Action History Drama,martial arts army sports hong kong master wing chun labor grandmaster
8½,Fantasy Drama,dying and death adultery depression individual unsociability screenplay suicide attempt missile scapegoat movie business allegory difficult childhood creative crisis kurort black and white extramarital affair existence
The Fundamentals of Caring,Comedy Drama,wheelchair road trip caregiver disability muscular dystrophy
About a Boy,Drama Comedy Romance,friendship london england rock 'n' roll rap music based on novel or book single parent becoming an adult bachelor single christmas
Charlie St. Cloud,Drama Romance,sibling relationship based on novel or book sailing ghost young adult
I Spit on Your Grave,Thriller Crime Horror,rape fondling remake revenge writer garden shears rape and revenge emasculation
Outbreak,Action Drama Science Fiction Thriller,research army general river monkey epidemic medical research
The Time Machine,Science Fiction Adventure Action,future new york city based on novel or book time travel time machine remake steampunk near future
Reign of Fire,Adventure Action Fantasy,castle dragon evolution fire chief animated map theatre audience dragonslayer tunnel construction fire repellent drilling iodine northumberland
Dead Silence,Horror,funeral legend tombstone detective clown flashback ventriloquist urban legend curse mansion widower gothic doll ghost story ventriloquist's dummy
Dogman,Crime Drama Thriller,italy robber cocaine revenge dog cage father daughter relationship
The Perfect Storm,Action Adventure Drama Thriller,based on novel or book natural disaster u.s. air force biography based on true story disaster shark tragic event thunderstorm new england jamaican meteorologist rescue boat marina city hall the flemish cap male camaraderie storm at sea 1990s man vs nature
Splice,Horror Science Fiction Thriller,experiment genetics dna gene manipulation genetic engineering genetically modified organism
The Smurfs 2,Fantasy Family Comedy Animation,based on cartoon
Twins,Comedy,experiment orphanage perfection low intelligence jet engine twins separated at birth artist colony same habits opposites
The First Time,Drama Comedy Romance,virgin high school first love awkwardness
Doom,Action Horror Science Fiction,martial arts monster teleportation fight superhuman creature special forces commando based on video game severed ear future war wisecrack humor action hero 2040s
Just Mercy,Drama Crime History,judge innocence based on true story lawyer racism justice 1980s legal drama
Trance,Thriller Crime Drama Mystery,amnesia heist art thief hypnotism duringcreditsstinger
Meg 2: The Trench,Action Science Fiction Horror,based on novel or book sequel shark kaiju civil action oceans shark cage
The Men Who Stare at Goats,Comedy War,vietnam veteran kuwait new age paranoid fantasy hippie lifestyle drug use
Spy Kids 3-D: Game Over,Action Adventure Comedy Family Science Fiction,mission artificial intelligence (a.i.) video game liberation child hero secret agent game developer trapped in a game
Hero,Drama Adventure Action History,martial arts kung fu right and justice countryside loss of loved one patriot wuxia warring states period 3rd century bc
Æon Flux,Science Fiction Action Thriller,martial arts espionage dystopia surrealism based on cartoon shootout infertility cyberpunk sabotage one against many woman director hand to hand combat human cloning cautionary
Paranormal Activity 3,Horror Mystery,witch sibling relationship haunting family secrets sequel prequel found footage paranormal activity ghoulish
The Ghost Writer,Thriller Mystery,london england cia based on novel or book politics war crimes massachusetts author martha's vineyard
Pride and Prejudice and Zombies,Romance Horror Comedy Thriller,based on novel or book dystopia shaolin prejudice zombie pride gold digger 19th century georgian or regency era parson mashup
Milk,History Drama,california election campaign politics homophobia san francisco california 1970s mayor politician biography based on true story murder male homosexuality morality election lgbt candlelight vigil lgbt activist mayoral campaign gay history gay theme gay rights
Ma,Horror Thriller,casino kidnapping psychopath underage drinking revenge murder slasher psychological thriller stabbing veterinary mental illness loner school loner hanging out munchausen syndrome by proxy
Kramer vs. Kramer,Drama,husband wife relationship marriage custody battle divorce family couple selfishness manhattan new york city child custody abandonment
Coming 2 America,Comedy,africa prince heir to the throne sequel queens new york city
Evolution,Comedy Science Fiction Action,governor fire engine giant monster grand canyon alien life-form shampoo evolution high school teacher government scientist napalm primate advertisement
Mile 22,Action Thriller,martial arts cia handheld camera top secret black ops political corruption intelligence officer elite forces tactical command unit triple agent
Fear Street: 1994,Mystery Horror,witch based on novel or book shopping mall murder curse drugs witchcraft lgbt 1990s
Wayne's World,Comedy Music,romantic rivalry heavy metal parody singer breaking the fourth wall television producer buddy aftercreditsstinger duringcreditsstinger woman director multiple endings best friends
Pi,Mystery Drama Thriller,new york city hacker ark of the covenant insanity paranoia mathematics mathematician delusion helix headache chaos theory migraine genius surrealism alienation computer chip talmud garden of eden math genius atonement mysticism intuition psychotronic film lynchian avant garde absurd savant fibonacci spiral
Green Zone,War Action Adventure Drama Thriller,conspiracy soldier iraq war weapon of mass destruction baghdad iraqi  near east
Hannibal Rising,Crime Drama Thriller Horror,mask winter psychopath world war ii lithuania decapitation serial killer racism strangulation cannibal crucifix cadaver incinerator medical student 1940s chateau violence
The Amityville Horror,Horror,holy water haunted house based on true story long island new york family dinner paranormal murder family death wood chopping backwards tortured to death moving in family in danger horror remake
The Apartment,Comedy Drama Romance,new year's eve new york city lovesickness clerk winter age difference suicide attempt office flat spaghetti tennis racket romantic comedy black and white extramarital affair christmas
Polar,Action Crime Drama,assassin hitman montana chile based on graphic novel isolated house criminal organization neo-noir forced retirement
The Beguiled,Drama,based on novel or book remake sexual tension period drama union soldier virginia american civil war woman director confederacy 19th century girls' school
The King of Comedy,Drama Comedy,prison new york city blackmail show business entertainer fbi studio receptionist
Unhinged,Action Thriller,psychopath aggression stalker murder arson single mother confrontation divorced threat pickup truck road rage retribution phone call consequences psychotic break road thriller murderous intentions fired from a job horrific crime older sister younger brother intense unstoppable terrorized fight for life edge-of-your-seat
